category_id,category,count,"corr(avg_attn,gt)","JS(avg_attn,gt)","dist_center(avg_attn,gt)"
58,hot dog,100,0.8802796602249146,0.06414833664894104,0.09410950328766
18,dog,100,0.9541033506393433,0.053154025226831436,0.10884102196898023
64,potted plant,100,0.8348283171653748,0.0839422158896923,0.07778355641271399
72,tv,100,0.8446385264396667,0.0677635669708252,0.0691808640425518
16,bird,100,0.8593727946281433,0.07447793148458004,0.09467185539612515
17,cat,100,0.9637075662612915,0.053715670481324196,0.03601856700815543
19,horse,100,0.900357723236084,0.06598935835063457,0.13571389786896948
20,sheep,100,0.912111759185791,0.06541766226291656,0.03580277334611132
21,cow,100,0.9129761457443237,0.061397042125463486,0.15957204509564635
44,bottle,100,0.8791045546531677,0.06838128343224525,0.08676966500825724
63,couch,100,0.9284102320671082,0.04276367835700512,0.10056161410767504
62,chair,100,0.8675537109375,0.07534094527363777,0.10237223945179716
67,dining table,100,0.945097029209137,0.05278635956346989,0.17984480394828453
2,bicycle,100,0.7950257658958435,0.09365653246641159,0.1277092989461299
3,car,100,0.7319743633270264,0.09511390700936317,0.24869737001552855
4,motorcycle,100,0.8443641066551208,0.06923333741724491,0.053432419674172824
5,airplane,100,0.9589880108833313,0.05933724716305733,0.030117536552521095
6,bus,100,0.894569456577301,0.0768226869404316,0.03561592937564927
7,train,100,0.9607172012329102,0.0487929992377758,0.22803799772846597
9,boat,100,0.8699406981468201,0.07654487155377865,0.08347177233261369
1,person,100,0.8495028614997864,0.08216795139014721,0.22371309658189065
13,stop sign,100,0.8847768902778625,0.051701635122299194,0.05040952669519666
28,umbrella,100,0.7652484774589539,0.1009908877313137,0.2005079715495324
32,tie,100,0.9100950360298157,0.05545060336589813,0.038719643751272154
37,sports ball,100,0.8095494508743286,0.0812782533466816,0.10522052558713944
54,sandwich,100,0.9049784541130066,0.054608674719929695,0.04926147091237664
65,bed,100,0.9854933023452759,0.033905403688549995,0.06874705311705288
77,cell phone,100,0.7954081892967224,0.0834411233663559,0.11261118426019626
82,refrigerator,100,0.9138551354408264,0.05405158922076225,0.10060431850981742
85,clock,100,0.8593448400497437,0.06834564730525017,0.06186974796946543
90,toothbrush,100,0.9127258658409119,0.05119952745735645,0.02197836562753441
8,truck,100,0.8868729472160339,0.05710911750793457,0.25139422747670953
10,traffic light,100,0.8145066499710083,0.09478442743420601,0.11078473081348708
11,fire hydrant,100,0.9058446288108826,0.05575769394636154,0.04743857058856587
14,parking meter,100,0.8469504714012146,0.08085323870182037,0.027085233691686854
15,bench,100,0.7980909943580627,0.079341109842062,0.01059621841023234
22,elephant,100,0.964490532875061,0.0472547709941864,0.1454477849972688
25,giraffe,100,0.9450093507766724,0.029825415462255478,0.14026575256324147
34,frisbee,100,0.853667140007019,0.07479073107242584,0.18692152416051822
35,skis,100,0.9245595335960388,0.051724812015891075,0.13518407637528232
36,snowboard,100,0.8575996160507202,0.0744218435138464,0.11937906806650629
38,kite,100,0.9117034077644348,0.06212150864303112,0.04977004560086231
39,baseball bat,100,0.8147028088569641,0.0652114562690258,0.28198323928088065
40,baseball glove,100,0.9062303304672241,0.05419103056192398,0.11068333097172614
41,skateboard,100,0.9272363781929016,0.0723161194473505,0.06501889170192743
42,surfboard,100,0.9086717963218689,0.0526810884475708,0.07063980791672302
43,tennis racket,100,0.8247537612915039,0.10172375291585922,0.09922286511936504
46,wine glass,100,0.7453532218933105,0.10611940920352936,0.11632529698491956
47,cup,100,0.8471083045005798,0.07783055678009987,0.18355327952255376
48,fork,100,0.8210612535476685,0.08795586228370667,0.04005397072403748
49,knife,100,0.814353883266449,0.07917902246117592,0.09991850744954449
50,spoon,100,0.8340263366699219,0.08390461467206478,0.2766150381750657
51,bowl,100,0.883215069770813,0.06407344527542591,0.15735543322273557
52,banana,100,0.8970083594322205,0.08720462024211884,0.10982955387183349
53,apple,100,0.8454799652099609,0.08935445174574852,0.05857266066007494
55,orange,100,0.7720935940742493,0.10253682732582092,0.06056730625611832
56,broccoli,100,0.7487220764160156,0.09833938255906105,0.23738830334929495
57,carrot,100,0.8464493155479431,0.061991091817617416,0.22481758428305282
59,pizza,100,0.902244508266449,0.07334941253066063,0.247142687669286
60,donut,100,0.8792772889137268,0.07438683696091175,0.052686312540687646
61,cake,100,0.8878347873687744,0.06568711996078491,0.09939184995605391
70,toilet,100,0.9065318703651428,0.05854376405477524,0.15365444769039385
73,laptop,100,0.8627158999443054,0.06666801311075687,0.13432951223330766
74,mouse,100,0.8493415117263794,0.07059517502784729,0.10022603730620076
75,remote,100,0.8776063323020935,0.07290301099419594,0.10020307408340728
76,keyboard,100,0.8364155292510986,0.09903834760189056,0.2862122169490798
78,microwave,100,0.8913344144821167,0.07789415866136551,0.25506636919530673
79,oven,100,0.896938681602478,0.0658918023109436,0.11246008716047645
80,toaster,100,0.9080118536949158,0.0758849997073412,0.1105407261460134
81,sink,100,0.9130199551582336,0.056333236396312714,0.11425184009701786
84,book,100,0.8199580311775208,0.09402197226881981,0.22359364452113115
86,vase,100,0.8339942097663879,0.08215035498142242,0.08235340397309097
87,scissors,100,0.8604661226272583,0.0637015737593174,0.04240928899411743
88,teddy bear,100,0.87099289894104,0.06262355111539364,0.15221991081983632
89,hair drier,100,0.88203364610672,0.07214407995343208,0.20746571244661527
27,backpack,100,0.8836118578910828,0.0637688860297203,0.0774797677851486
31,handbag,100,0.8803122639656067,0.06040407530963421,0.22590382144636836
33,suitcase,100,0.8973281383514404,0.057480981573462486,0.0977825723183039
24,zebra,100,0.8492835760116577,0.07753084227442741,0.008763796323517214
23,bear,100,0.9555323719978333,0.055339351296424866,0.036630229355528815
