category_id,category,count,corr,kl(attn||gt),js,emd_approx,pred_cx,pred_cy,pred_w,pred_h
54,sandwich,100,0.20688559114933014,8.04089069366455,0.40050432085990906,1.768516848696323,0.3335839807987213,0.7647119164466858,0.13101771473884583,0.1628066897392273
9,boat,100,0.11559305340051651,8.894150733947754,0.44300246238708496,1.6488682903719631,0.47213512659072876,0.49105292558670044,0.17196966707706451,0.15413722395896912
65,bed,100,0.09414586424827576,11.035030364990234,0.4781019687652588,2.413182935292229,0.4215233623981476,0.7311583757400513,0.61077880859375,0.39399662613868713
5,airplane,100,0.09216765314340591,10.689569473266602,0.5003793239593506,2.8198167600160695,0.5385850071907043,0.5629472136497498,0.1470462828874588,0.11871475726366043
7,train,100,0.0796029195189476,9.095008850097656,0.41872842609882355,1.4084414797949454,0.22213003039360046,0.5327302813529968,0.20254448056221008,0.26396530866622925
51,bowl,100,0.0709984228014946,8.909883499145508,0.425610288977623,2.217262115196475,0.45069047808647156,0.6938340663909912,0.08872999250888824,0.09945231676101685
75,remote,100,0.051558636128902435,8.55095100402832,0.38794706761837006,0.7700456250263348,0.31344038248062134,0.6535956859588623,0.07710373401641846,0.09034232050180435
74,mouse,100,0.04890499264001846,8.658295631408691,0.3969147652387619,2.253028834719891,0.5859367251396179,0.7314940690994263,0.09755642712116241,0.16429594159126282
80,toaster,100,0.04859768599271774,8.603891372680664,0.4333203434944153,1.7578728997531206,0.7677544951438904,0.6615739464759827,0.1574029177427292,0.1979367583990097
73,laptop,100,0.04422410950064659,9.068734169006348,0.4144505262374878,1.3384279621428707,0.5110746622085571,0.5988162159919739,0.15934887528419495,0.14794310927391052
43,tennis racket,100,0.04085203632712364,9.78240966796875,0.4308928996324539,0.6050748805187536,0.49121010303497314,0.6958149671554565,0.11869599670171738,0.16382776200771332
28,umbrella,100,0.03884393349289894,9.718954086303711,0.44404006004333496,1.6290830515764851,0.47012805938720703,0.5378463864326477,0.07240612804889679,0.08671192079782486
21,cow,100,0.03566446527838707,10.368241310119629,0.4838099777698517,3.816633592715809,0.4262388050556183,0.6811951994895935,0.09343504905700684,0.11679672449827194
18,dog,100,0.034278783947229385,10.556966781616211,0.4559049606323242,3.6817654620104796,0.3866930305957794,0.5166071057319641,0.1834239661693573,0.25159740447998047
