category_id,category,count,"corr(attn,gt)",H_attn,H_gt,H_uniform,"JS(attn,gt)","JS(attn,uniform)","JS(gt,uniform)",KL(attn||gt),KL(gt||attn),attn_center_x,attn_center_y,gt_center_x,gt_center_y,"dist_center(attn,gt)","dist_center(attn,uniform)","dist_center(gt,uniform)",bbox_cx,bbox_cy,bbox_w,bbox_h,dist_bbox_center_to_gt_center
10,traffic light,100,0.8097234964370728,4.598572731018066,4.372898101806641,5.545178413391113,0.09428130835294724,0.24075713008642197,0.32633746415376663,3.6511199474334717,0.32941314578056335,8.478500649385179,6.288330555577031,8.510000591178237,6.500000447979708,0.2140009104717248,1.5574358296236426,1.4213023247082837,0.39981356263160706,0.5906091928482056,0.0460003986954689,0.15615785121917725,3.446691023112268
48,fork,100,0.8148671388626099,4.598912715911865,4.3781304359436035,5.545178413391113,0.08815266191959381,0.2449190318584442,0.32769347727298737,3.336142063140869,0.31162595748901367,7.133543650558678,9.13244120318393,7.17000050471549,9.120000632491376,0.03852103339952756,1.6730674038718398,1.6532700070346915,0.39537155628204346,0.8109222650527954,0.08553934097290039,0.17080089449882507,3.2865028689985567
62,chair,100,0.8574524521827698,4.613508224487305,4.405856609344482,5.545178413391113,0.0757862739264965,0.24723971635103226,0.32000795006752014,3.0426321029663086,0.2685316205024719,7.178853881204434,8.145852772272956,7.1100004930177185,8.210000569012982,0.09410488239932148,0.7212909489728253,0.8100619874090996,0.4518498182296753,0.7975289225578308,0.09419795870780945,0.10954882949590683,3.767612019057172
64,potted plant,100,0.8274737000465393,4.590903282165527,4.391993522644043,5.545178413391113,0.0846475251019001,0.24970770627260208,0.32294319570064545,3.323214054107666,0.29434943199157715,8.584425556363758,7.382462699814496,8.620000617590573,7.350000526768898,0.04815991756776595,1.0907766976928612,1.1300005422002566,0.5617647767066956,0.7474966645240784,0.09946709871292114,0.19017288088798523,3.86729480981969
84,book,100,0.8135407567024231,4.54310941696167,4.312213897705078,5.545178413391113,0.09240800887346268,0.25434739887714386,0.3385374993085861,3.369295120239258,0.3376200795173645,7.248684101017142,7.230657886017242,7.040000475025186,7.020000479197631,0.2965221725353996,0.3683813994303502,0.6648301308962747,0.5134803652763367,0.7062554359436035,0.04985317587852478,0.08999424427747726,3.634664209055718
55,orange,100,0.7498608231544495,4.526677131652832,4.317446231842041,5.545178413391113,0.1063370406627655,0.2580272704362869,0.33989349007606506,4.3815107345581055,0.3706076741218567,7.297666906124244,7.350446642789528,7.280000524608489,7.380000533549387,0.03443157700288859,0.2516046254150719,0.2505985656801965,0.4171152114868164,0.5719431638717651,0.05403178185224533,0.05485139414668083,1.576400854350546
86,vase,100,0.821963369846344,4.562994003295898,4.306981086730957,5.545178413391113,0.08483601361513138,0.26244788616895676,0.34081152081489563,3.3900561332702637,0.30087900161743164,7.41085067270615,8.5053869082586,7.250000493614205,8.480000564841115,0.1628411696900434,1.0093316788126356,1.011385614037517,0.287672221660614,0.8051283359527588,0.07238788157701492,0.11627264320850372,4.64237056492248
46,wine glass,100,0.7504686713218689,4.546472549438477,4.281089782714844,5.545178413391113,0.10384421795606613,0.26336584240198135,0.34461018443107605,4.130439281463623,0.3619996905326843,7.6588827288028405,8.659674601038422,7.5000005168976385,8.710000605334821,0.16666212517645024,1.1705079674250232,1.2100006053349317,0.41642439365386963,0.6066312789916992,0.049867577850818634,0.19450104236602783,1.3127396981421915
47,cup,100,0.841587245464325,4.519691467285156,4.326076984405518,5.545178413391113,0.07725861668586731,0.26379944384098053,0.33741724491119385,2.935818910598755,0.2718215882778168,7.549693773627147,7.141689816897696,7.690000562941736,7.010000510154704,0.19242678773553942,0.3617397662023253,0.5255470616099256,0.3630851209163666,0.730708122253418,0.08493255823850632,0.1118360087275505,4.543314330481456
34,frisbee,100,0.836747407913208,4.53424596786499,4.3313093185424805,5.545178413391113,0.07473312690854073,0.26407310366630554,0.33695824444293976,2.86257266998291,0.2637455463409424,7.286368330727242,7.192645680074777,7.390000538913675,7.320000532096653,0.16419163470503062,0.374306249070145,0.21094949605241975,0.39703717827796936,0.6321671009063721,0.044908877462148666,0.052687738090753555,2.595006445509144
2,bicycle,100,0.7929825782775879,4.527961254119873,4.287886142730713,5.545178413391113,0.09213141724467278,0.2669662535190582,0.3442058116197586,3.834545135498047,0.3199222981929779,7.188365168441596,8.522855931959455,7.210000551319271,8.56000064780329,0.042986273476342145,1.0692757014844585,1.098954527529926,0.3467710316181183,0.7160864472389221,0.10768616199493408,0.15602567791938782,2.9651077490525517
16,bird,100,0.8497705459594727,4.524893283843994,4.312213897705078,5.545178413391113,0.07435457780957222,0.2676013559103012,0.34035252034664154,3.078373432159424,0.2528071999549866,7.68577453478181,7.66330504262686,7.680000566890604,7.630000564282872,0.033801286705890735,0.2473473564054374,0.2220368230605096,0.4498983323574066,0.580553412437439,0.04951993003487587,0.15481938421726227,1.4249463642714912
37,sports ball,100,0.7943506836891174,4.508957862854004,4.312213897705078,5.545178413391113,0.08164124935865402,0.27259644865989685,0.34035252034664154,3.0834548473358154,0.2837982773780823,6.898788616780221,8.213379398698669,6.930000514737041,8.220000608836813,0.03190647266246147,0.9329337027895999,0.9183138297583344,0.5434941053390503,0.7790022492408752,0.04205792769789696,0.040681228041648865,3.6743357771350222
1,person,100,0.8439192771911621,4.48367166519165,4.2462968826293945,5.545178413391113,0.08371507003903389,0.27272602915763855,0.3511965274810791,3.1891655921936035,0.2954598069190979,6.857153695456345,7.282004380879783,7.129999840645821,7.469999833045889,0.33134168011268217,0.6788029620007855,0.371214396190924,0.494662880897522,0.7716764807701111,0.06341111660003662,0.12508392333984375,4.115373878360672
80,toaster,100,0.9087650775909424,4.477675437927246,4.232434272766113,5.545178413391113,0.07630880549550056,0.2732570022344589,0.3519037663936615,3.1889688968658447,0.2708051800727844,8.465983522318133,7.686866944439998,8.350000558433607,7.700000505907833,0.11672419778378779,0.9838919759376478,0.8732131192903781,0.5560038685798645,0.7271641492843628,0.16147620975971222,0.21600687503814697,3.207477143309199
15,bench,100,0.7923791408538818,4.503778457641602,4.322678565979004,5.545178413391113,0.07872124016284943,0.27371300756931305,0.3394344747066498,2.868457317352295,0.27602508664131165,7.574071988462259,7.8396470439894195,7.650000548003273,7.930000569684394,0.11802078528583748,0.34763022590894427,0.455412619862675,0.28896257281303406,0.7599462270736694,0.25629493594169617,0.173788920044899,4.798775887564675
3,car,100,0.7113766670227051,4.497591495513916,4.317446231842041,5.545178413391113,0.09571882337331772,0.275199294090271,0.33989349007606506,3.2011542320251465,0.3439655303955078,7.1453220233012305,8.141786365278392,7.210000505683915,7.99000055064799,0.16499163495869168,0.7332708952443038,0.5693858501393567,0.569898247718811,0.6660211086273193,0.04352543130517006,0.06834562122821808,2.406818428777647
56,broccoli,100,0.722311794757843,4.428878307342529,4.293118476867676,5.545178413391113,0.10094530880451202,0.2759353220462799,0.34374678134918213,3.5389175415039062,0.37009134888648987,7.517490415988117,7.276454836663813,7.680000506354768,7.270000487579325,0.16263821227829972,0.2242283539217105,0.2920615654305116,0.4391975402832031,0.7247200012207031,0.0760747417807579,0.0810810849070549,3.7627520444634914
43,tennis racket,100,0.8297796249389648,4.476895332336426,4.204708099365234,5.545178413391113,0.09729242697358131,0.2765546590089798,0.361817330121994,4.171220302581787,0.33590221405029297,7.266919987634052,7.8920769347614605,7.310000472716216,7.950000515221179,0.07218773696541571,0.45612565695919066,0.48846728044710197,0.43068885803222656,0.6564487814903259,0.11977177113294601,0.11661495268344879,2.078346531837019
49,knife,100,0.8132613301277161,4.47093391418457,4.308815956115723,5.545178413391113,0.07878484390676022,0.27669815719127655,0.3423697352409363,2.809798002243042,0.28322821855545044,7.630056020287992,7.651131580564031,7.700000538503832,7.810000540701694,0.17358451003378206,0.19938736935155363,0.36891808120118647,0.5559968948364258,0.5537436008453369,0.035682957619428635,0.06146302819252014,0.809757964796003
44,bottle,100,0.8678300380706787,4.474376678466797,4.28972053527832,5.545178413391113,0.07046056911349297,0.27815544605255127,0.34394897520542145,2.875802993774414,0.2424454391002655,7.626098286999479,7.243072125681296,7.840000536305972,7.290000506690193,0.2189896006720255,0.2862039667547091,0.3996250140803554,0.41114816069602966,0.6381797790527344,0.03250987455248833,0.0896061509847641,2.8299979689843737
